systime,op_mode,rpm,temp,pitch_angle,motor_dir,motor_dc
281097,0,-0.41,23.22,90.00,0,0
282242,0,2.85,23.21,90.00,0,0
283398,0,5.29,23.13,90.00,0,0
284567,0,-2.44,23.17,90.00,0,0
285743,0,-1.63,23.17,90.00,0,0
286930,0,2.44,23.35,90.00,0,0
288127,0,3.66,23.25,90.00,0,0
289359,0,6.10,23.25,90.00,0,0
290612,0,5.29,23.45,90.00,0,0
291886,0,4.07,23.37,90.00,0,0
293164,0,-0.41,23.28,90.00,0,0
294455,0,-0.41,23.16,90.00,0,0
295753,0,4.07,23.17,90.00,0,0
299998,0,2.44,23.35,90.00,0,0
301154,0,1.63,23.30,90.00,0,0
302320,0,3.66,23.18,90.00,0,0
303523,0,-2.44,23.20,90.00,0,0
304748,0,-3.26,23.30,90.00,0,0
305986,0,-0.81,23.54,90.00,0,0
307243,0,2.85,23.43,90.00,0,0
308511,0,3.26,23.35,90.00,0,0
309789,0,2.44,23.40,90.00,0,0
311081,0,0.00,23.41,90.00,0,0
312381,0,0.41,23.35,90.00,0,0
313713,0,-6.51,23.20,90.00,0,0
315071,0,-1.63,23.20,90.00,0,0
316436,0,-2.85,23.21,90.00,0,0
317813,0,-5.29,23.35,90.00,0,0
319189,0,1.22,23.47,90.00,0,0
323511,0,1.22,23.35,90.00,0,0
324737,0,2.44,23.39,90.00,0,0
325978,0,-2.85,23.26,90.00,0,0
327253,0,-1.63,23.40,90.00,0,0
328551,0,0.41,23.49,90.00,0,0
330251,0,0.00,23.40,90.00,0,0
331573,0,-0.81,23.48,90.00,0,0
332904,0,2.85,23.41,90.00,0,0
334252,0,-1.22,23.37,90.00,0,0
335609,0,0.41,23.28,90.00,0,0
336980,0,0.00,23.36,90.00,0,0
338360,0,2.44,23.43,90.00,0,0
339779,0,0.81,23.43,90.00,0,0
