system time,RPM
314789,0
315315,0
315841,0
316367,-8.14
316894,0
317420,0
317946,-12.21
318474,-8.14
319001,0
319527,-16.28
320055,0
320581,0
321107,8.14
321633,12.21
322160,0
322686,-16.28
323214,0
323740,0
324266,0
324792,0
325318,0
325844,-8.14
326371,0
326897,-12.21
327425,-12.21
327953,-12.21
328481,0
329007,-8.14
329534,0
330060,8.14
330586,0
331112,0
331638,0
332164,0
332690,0
333216,0
333742,0
334268,-4.07
334795,0
335321,-4.07
335848,0
336374,0
336900,-4.07
337427,-12.21
337955,-16.28
338483,0
339009,-20.35
339537,0
340063,-4.07
340590,0
341116,-8.14
341643,-4.07
342170,0
342696,-20.35
343224,-28.48
343752,0
344278,0
344804,0
345330,12.21
345857,12.21
346384,0
346910,0
347436,-4.07
347963,-12.21
348491,0
349017,-8.14
349544,0
350070,-8.14
350597,-8.14
351124,-4.07
351651,0
352177,-12.21
352705,0
353231,-8.14
353758,0
354284,-4.07
354811,0
355337,0
355863,0
356389,-8.14
356916,0
357442,0
357968,0
358494,0
359020,0
359546,0
360072,0
360598,-4.07
361125,0
361651,0
362177,0
362703,0
363229,-8.14
363756,0
364282,0
364808,0
365334,0
365860,-12.21
366388,-8.14
366915,-8.14
367442,0
367968,0
368494,0
369020,0
369546,-16.28
370074,0
370600,-8.14
371127,-16.28
371655,0
372181,0
372707,8.14
373233,-8.14
373760,0
374286,8.14
374812,0
375338,0
375864,0
376390,0
376916,-16.28
377444,0
377970,-24.41
378498,0
379024,0
379550,0
380076,8.14
380602,0
381128,-12.21
381656,0
382182,8.14
382708,0
383234,0
383760,-16.28
384288,-12.21
384816,0
385342,0
385868,0
386394,0
386920,0
387446,-20.35
387974,0
388500,-8.14
389027,-8.14
389554,-16.28
390082,12.21
390609,-8.14
391136,-8.14
391663,0
392189,-20.35
392717,0
393243,0
393769,0
394295,-16.28
394823,-12.21
395351,-4.07
395878,-8.14
396405,0
396931,0
397457,0
397983,0
398509,0
399035,0
399561,0
400087,0
400613,0
401139,0
401665,0
402191,0
402717,0
403243,-8.14
403770,0
404296,0
404822,-8.14
405349,0
405875,0
406401,0
406927,-4.07
407454,-12.21
407982,-16.28
408510,-8.14
409037,0
409563,-16.28
410091,0
410617,0
411143,-32.55
411671,0
412197,-4.07
412724,0
413250,0
413776,0
414302,0
414828,0
415354,-12.21
415882,0
416408,0
416934,0
417460,0
417986,0
418512,0
419038,0
419564,0
420090,0
420616,0
421142,0
421668,0
422194,0
422720,8.14
423246,0
423772,-8.14
424299,0
424825,0
425351,0
425877,-16.28
426405,0
426931,0
427457,16.28
427984,-8.14
428511,0
429037,0
429563,-4.07
430090,0
430616,-20.35
431144,0
431670,-12.21
432198,0
432724,-764.97
433253,-781.25
433782,-781.25
434311,-813.8
434840,-797.53
435369,-797.53
435898,-785.32
436427,-805.66
436956,-797.53
437485,-793.46
438014,-793.46
438543,-793.46
439072,-793.46
439601,-793.46
440130,-781.25
440659,-793.46
441188,-781.25
441717,-781.25
442246,-801.6
442775,-793.46
443304,-781.25
443833,-781.25
444362,-773.11
444891,-793.46
445420,-785.32
445949,-781.25
446478,-781.25
447007,-805.66
447536,-789.39
448065,-781.25
448594,-797.53
449123,-781.25
449652,-801.6
450181,-793.46
450710,-789.39
451239,-773.11
451768,-781.25
452297,-777.18
452826,-781.25
453355,-789.39
453884,-789.39
454413,-793.46
454942,-805.66
455471,-793.46
456000,-801.6
456529,-781.25
457058,-801.6
457587,-797.53
458116,-789.39
458645,-793.46
459174,-793.46
459703,-797.53
460232,-781.25
460761,-781.25
461290,-789.39
461819,-773.11
462348,-781.25
462877,-797.53
463406,-781.25
463935,-781.25
464464,-781.25
464993,-785.32
465522,-781.25
466051,-781.25
466580,-773.11
467109,-797.53
467638,-797.53
468167,-797.53
468696,-805.66
469225,-781.25
469754,-789.39
470283,-797.53
470812,-781.25
471341,-764.97
471870,-797.53
472399,-797.53
472928,-781.25
473457,-801.6
473986,-797.53
474515,-793.46
475044,-781.25
475573,-773.11
476102,-781.25
476631,-797.53
477160,-781.25
477689,-781.25
478218,-789.39
478747,-781.25
479276,-793.46
479805,-785.32
480334,-781.25
480863,-801.6
481392,-801.6
481921,-797.53
482450,-781.25
482979,-781.25
483508,-781.25
484037,-813.8
484566,-781.25
485095,-781.25
485624,-671.39
486153,-382.49
486682,-146.48
487211,-12.21
487739,12.21
488266,0
488792,0
489318,0
489844,0
490370,0
490896,0
491422,0
491948,-32.55
492476,0
493002,-16.28
493530,0
494056,-12.21
494584,-8.14
495111,8.14
495637,0
496163,8.14
496689,0
497215,8.14
497741,0
498267,-16.28
498795,-20.35
499323,-500.49
499852,-964.36
500381,-992.84
500910,-976.56
501439,-996.91
501968,-976.56
502497,-976.56
503026,-988.77
503555,-984.7
504084,-976.56
504613,-1005.05
505143,-984.7
505672,-956.22
506201,-976.56
506730,-972.49
507259,-984.7
507788,-992.84
508317,-964.36
508846,-895.18
509375,-626.63
509904,-260.42
510433,0
510959,0
511485,-4.07
512012,8.14
512538,0
513064,0
513590,-12.21
514118,0
514644,0
515170,-8.14
515697,0
516223,-8.14
516750,-16.28
517278,0
517804,0
518330,-8.14
518857,0
519383,0
519909,-8.14
520436,-8.14
520963,0
521489,-8.14
522016,12.21
522543,0
523069,0
523595,0
524121,-8.14
524648,-12.21
525176,0
525702,0
526228,0
526754,0
527280,8.14
527806,0
528332,0
528858,-20.35
529386,-887.04
529915,-1192.22
530445,-1188.15
530975,-1188.15
531505,-1171.87
532035,-1188.15
532565,-1180.01
533095,-1163.74
533625,-1184.08
534155,-1184.08
534685,-1180.01
535215,-1188.15
535745,-1171.87
536275,-1167.81
536805,-1155.6
537335,-1188.15
537865,-1188.15
538395,-1155.6
538925,-1192.22
539455,-1184.08
539985,-1167.81
540515,-1188.15
541045,-1188.15
541575,-1171.87
542105,-1188.15
542635,-1041.67
543165,-764.97
543694,-406.9
544223,-122.07
544752,0
545278,0
545804,0
546330,12.21
546857,0
547383,-8.14
547910,0
548436,0
548962,0
549488,0
550014,-16.28
550542,-12.21
551070,-805.66
551599,-1302.08
552129,-1432.29
552659,-1411.95
553189,-1432.29
553719,-1416.02
554249,-1407.88
554779,-1424.15
555309,-1428.22
555839,-1411.95
556369,-1407.88
556899,-1420.08
557429,-1383.46
557959,-1395.67
558489,-1416.02
559019,-1403.81
559549,-1424.15
560079,-1399.74
560609,-1407.88
561139,-1416.02
561669,-1424.15
562199,-1416.02
562729,-1411.95
563259,-1399.74
563789,-1411.95
564319,-1399.74
564849,-1245.12
565379,-944.01
565908,-590.01
566437,-301.11
566966,-65.1
567494,0
568020,0
568546,0
569072,-20.35
569600,0
570126,-4.07
570653,0
571179,0
571705,-8.14
572232,0
572758,0
573284,-16.28
573812,0
574338,12.21
574865,-28.48
575393,12.21
575920,0
576446,-16.28
576974,0
577500,0
578026,-16.28
578554,-12.21
579082,0
579608,-4.07
580135,0
580661,0
581187,0
581713,0
582239,0
582765,-4.07
583292,8.14
583818,-16.28
584346,0
584872,-12.21
585400,-16.28
585928,0
586454,0
586980,-20.35
587508,0
588034,0
588560,0
589086,0
589612,8.14
590138,-12.21
590666,-8.14
591193,-8.14
591720,0
592246,0
592772,-24.41
593300,687.66
593828,1253.26
594357,1403.81
594886,1399.74
595415,1379.39
595944,1395.67
596473,1395.67
597002,1387.53
597531,1403.81
598060,1399.74
598589,1379.39
599118,1399.74
599647,1399.74
600176,1387.53
600705,1399.74
601234,1391.6
601763,1395.67
602292,1399.74
602821,1334.64
603350,1106.77
603879,732.42
604407,455.73
604935,97.66
605462,0
605988,8.14
606514,-12.21
607042,-4.07
607569,0
608095,0
608621,0
609147,0
609673,0
610199,0
610725,0
611251,0
611777,488.28
612305,1171.87
612834,1171.87
613363,1163.74
613892,1159.67
614421,1171.87
614950,1143.39
615479,1171.87
616008,1139.32
616537,1167.81
617066,1155.6
617595,1171.87
618124,1163.74
618653,1155.6
619182,1188.15
619711,1151.53
620240,1151.53
620769,1188.15
621298,1171.87
621827,1171.87
622356,1155.6
622885,1151.53
623414,1159.67
623943,1171.87
624472,1151.53
625001,789.39
625529,492.35
626057,211.59
626585,-20.35
627113,-4.07
627640,0
628166,0
628692,0
629218,-16.28
629746,0
630272,-8.14
