systime,op_mode,rpm,temp,pitch_angle,motor_dir,motor_dc
265574,0,-30.52,25.50,90.00,0,0
266524,0,-32.15,25.56,90.00,0,0
270411,0,40.28,25.53,90.00,0,0
271209,0,33.77,25.60,90.00,0,0
272010,0,30.11,25.57,90.00,0,0
272849,0,29.30,25.51,90.00,0,0
273714,0,32.96,25.43,90.00,0,0
274591,0,33.77,25.42,90.00,0,0
275481,0,32.96,25.57,90.00,0,0
276380,0,39.06,25.58,90.00,0,0
277295,0,37.84,25.62,90.00,0,0
278220,0,31.74,25.75,90.00,0,0
279152,0,30.11,25.68,90.00,0,0
280128,0,31.74,25.54,90.00,0,0
281118,0,26.86,25.57,90.00,0,0
282130,0,28.08,25.54,90.00,0,0
283149,0,30.52,25.54,90.00,0,0
284171,0,30.11,25.60,90.00,0,0
288134,0,34.59,25.60,90.00,0,0
289018,0,30.92,25.61,90.00,0,0
289910,0,25.23,25.58,90.00,0,0
290848,0,9.77,25.62,90.00,0,0
291807,0,-2.44,25.65,90.00,0,0
292782,0,-4.88,25.62,90.00,0,0
293763,0,-3.66,25.51,90.00,0,0
294760,0,-6.92,25.58,90.00,0,0
295766,0,-10.99,25.61,90.00,0,0
296790,0,-3.66,25.66,90.00,0,0
297829,0,-0.81,25.72,90.00,0,0
298875,0,-3.26,25.60,90.00,0,0
299948,0,-0.81,25.46,90.00,0,0
301055,0,-4.48,25.46,90.00,0,0
302168,0,-7.73,25.62,90.00,0,0
303279,0,-6.92,25.61,90.00,0,0
307551,0,2.44,25.56,90.00,0,0
308516,0,-0.41,25.53,90.00,0,0
309489,0,-4.88,25.57,90.00,0,0
310478,0,-4.88,25.50,90.00,0,0
311499,0,-3.26,25.49,90.00,0,0
312547,0,-4.88,25.70,90.00,0,0
313604,0,-3.66,25.80,90.00,0,0
314677,0,-1.22,25.69,90.00,0,0
315759,0,-0.81,25.62,90.00,0,0
